,tags
0,det compound compound compound nsubj ROOT npadvmod det dobj prep poss case amod amod pobj acl punct punct det dobj punct mark det nsubj relcl dobj punct
1,det nsubj advmod ROOT prep compound punct compound pobj mark det compound compound nsubj punct nsubj relcl nmod punct pobj dobj prep det pobj punct punct punct ccomp det dobj cc conj prep det pobj prep pobj punct prep det pobj prep pobj det nsubjpass auxpass relcl punct
2,det compound punct compound compound nsubjpass aux auxpass ROOT agent compound compound compound compound compound pobj aux advcl dobj prep amod punct punct pobj punct prep det advmod punct amod pobj nsubjpass auxpass relcl agent npadvmod punct compound compound compound pobj punct
3,punct punct advmod det amod nsubjpass prep amod pobj auxpass ccomp punct punct det nsubj ROOT punct punct punct xcomp det amod dobj prep det pobj punct det dep prep pobj cc det conj prep det pobj punct punct
4,det nsubj ROOT nsubj aux ccomp mark nsubj prep poss case nmod cc conj pobj punct punct ccomp acomp cc conj cc advmod conj punct punct
5,nsubj ROOT mark compound nsubj ccomp punct punct aux xcomp det nsubj ccomp cc conj prep det pobj prep pcomp cc conj dobj punct punct
6,det amod nsubj ROOT prep det pobj prep amod pobj punct prep pobj det nmod cc compound conj compound dep dobj nsubj relcl punct punct ccomp advmod acomp cc conj advmod amod dobj nsubj relcl prep det amod pobj prep det pobj punct punct
7,nsubj ROOT
8,advmod punct det nsubj ROOT nsubj ccomp punct punct det nummod nsubjpass aux auxpass ccomp aux advcl amod dobj cc conj det dobj prep pobj punct punct
9,det compound compound dep punct det nsubj ROOT punct punct punct aux ccomp prep amod amod pobj prep det pobj prep compound compound pobj punct punct
10,nsubj ROOT mark det nsubj punct punct ccomp dobj aux relcl punct det dobj punct
11,nsubjpass prep poss case compound compound pobj auxpass advmod ROOT agent det amod pobj punct
12,nsubj ROOT mark det amod nsubj punct punct ccomp amod dobj cc conj conj xcomp det amod dobj mark mark det amod nsubjpass prep det pobj aux auxpass advcl punct punct
13,det amod nsubj ROOT det dobj prep det compound compound poss case pobj prep amod pobj acl prep compound compound pobj prep amod pobj punct
14,punct punct nsubj ccomp attr prep det amod pobj prep det nmod compound amod compound pobj punct punct det nsubj ROOT punct cc det compound compound nsubj punct punct aux conj acomp aux xcomp det dobj prep det compound pobj prep predet det pobj prep det pobj prep det pobj prep compound pobj punct nsubj relcl dobj prep det pobj punct
15,det nsubj ROOT nsubj ccomp punct punct det amod nsubj prep det pobj aux ccomp det dobj prep poss advmod amod pobj punct punct
16,advmod punct punct punct nsubj ccomp mark prep det pobj compound nsubj aux ccomp det dobj prep det amod pobj punct punct det nsubj ROOT punct
17,punct punct nsubj aux acl dobj aux ROOT aux xcomp det amod dobj punct prep compound pobj punct
18,det nsubj advmod ROOT prep det compound poss case pobj nsubj aux relcl prep pobj prep poss pobj prep det pobj prep pobj punct conj cc conj cc det conj prep pobj cc conj punct
19,nsubj ROOT
20,det nsubj ROOT nsubj ccomp det nsubj punct punct aux ccomp prep poss compound pobj det dobj punct prep nummod amod amod pobj punct det compound compound appos cc det amod compound conj punct
21,punct punct det nsubj aux ccomp aux xcomp prep pobj cc prep pobj det poss case conj prep amod pobj cc poss amod cc conj conj prep amod pobj punct punct det nsubj ROOT punct
22,prep poss case amod amod amod nummod punct compound pobj punct det nsubj ROOT punct punct mark advmod det amod nsubj advcl dobj npadvmod nummod det nsubjpass auxpass ccomp prep det pobj nsubj aux relcl amod dobj punct punct
23,det nsubj aux neg ROOT punct cc nsubj conj mark punct punct expl aux ccomp amod attr prep det compound pobj prep det pobj prep det pobj prep pcomp det dobj oprd punct punct
24,ROOT compound dobj
25,prep amod pobj punct det nsubj ROOT dobj punct punct dep punct
26,nummod amod nsubjpass auxpass ccomp prep det compound compound pobj cc punct punct det nsubjpass punct amod conj cc conj auxpass ROOT prep nmod cc compound pobj prep det pobj punct punct
27,punct ROOT punct
28,compound nsubj punct punct ROOT prep compound pobj aux advcl amod dobj nsubj aux relcl det dobj prep det amod cc conj punct compound pobj prep compound pobj punct
29,det nsubj ROOT det dobj cc conj prep det compound compound pobj punct det compound compound poss case conj punct det conj cc compound compound conj punct compound conj cc det compound compound conj punct
30,compound compound compound nsubj ROOT dobj prep pobj prep poss pobj punct compound compound appos punct prep compound compound pobj npadvmod punct
31,poss nsubj ROOT amod dobj punct
32,det nsubj auxpass ROOT npadvmod nummod punct nummod punct
33,nsubj ROOT det dobj punct compound compound appos punct cc det conj punct compound compound compound appos prep pobj punct
34,nsubj prep det pobj ROOT mark det amod compound nsubjpass aux auxpass ccomp prep punct
35,det nsubj ROOT det poss case dobj prep punct punct pobj punct cc poss conj prep pobj punct
36,nsubj ROOT poss poss case dobj prep pobj cc conj prep pobj prep pobj punct appos punct
37,det nsubj ROOT mark det nsubj aux neg ccomp advmod prep pobj cc conj prep amod quantmod nummod pobj punct
38,det compound nsubj ROOT prep nummod compound compound pobj punct ROOT punct
39,compound compound nsubjpass auxpass ROOT prep det pobj prep det poss case pobj punct
40,nsubj aux ROOT attr prep pobj punct prep pobj prep nummod amod pobj punct prep pobj punct
41,poss amod nsubj ROOT advmod prep poss pobj prep compound pobj prep pobj punct
