,tags
0,DET PROPN PROPN PROPN PROPN VERB PROPN DET NOUN ADP PROPN PART ADJ ADJ NOUN VERB PUNCT PUNCT DET NOUN PUNCT SCONJ DET NOUN VERB NOUN PUNCT
1,DET NOUN ADV VERB ADP NOUN PUNCT NOUN NOUN SCONJ DET PROPN PROPN PROPN PUNCT PRON VERB ADP PUNCT PRON NOUN ADP DET NOUN PUNCT PUNCT PUNCT VERB DET NOUN CCONJ NOUN ADP DET PROPN ADP PROPN PUNCT ADP DET NOUN ADP PRON DET NOUN AUX VERB PUNCT
2,DET PROPN PUNCT PROPN NOUN NOUN AUX AUX VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN PART VERB NOUN ADP ADJ PUNCT PUNCT NOUN PUNCT ADP DET ADV PUNCT VERB NOUN PRON AUX VERB ADP PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT
3,PUNCT PUNCT ADV DET ADJ NOUN ADP ADJ NOUN AUX VERB PUNCT PUNCT DET NOUN VERB PUNCT PUNCT PUNCT VERB DET ADJ NOUN ADP DET NOUN PUNCT DET NOUN ADP NOUN CCONJ DET NOUN ADP DET NOUN PUNCT PUNCT
4,DET NOUN VERB PRON AUX VERB SCONJ ADJ ADP PROPN PART NOUN CCONJ NOUN NOUN PUNCT PUNCT AUX ADJ CCONJ ADJ CCONJ ADV ADJ PUNCT PUNCT
5,PRON VERB SCONJ PROPN NOUN VERB PUNCT PUNCT PART VERB DET NOUN VERB CCONJ VERB ADP DET NOUN ADP VERB CCONJ VERB PRON PUNCT PUNCT
6,DET ADJ NOUN VERB ADP DET NOUN ADP ADJ NOUN PUNCT ADP PRON DET PROPN CCONJ PROPN PROPN NOUN NOUN PRON PRON VERB PUNCT PUNCT AUX ADV VERB CCONJ VERB ADV VERB NOUN PRON VERB ADP DET ADJ NOUN ADP DET NOUN PUNCT PUNCT
7,PROPN VERB
8,ADV PUNCT DET NOUN VERB PRON VERB PUNCT PUNCT DET NUM NOUN AUX AUX VERB PART VERB ADJ NOUN CCONJ VERB DET NOUN ADP NOUN PUNCT PUNCT
9,DET PROPN PROPN PROPN PUNCT DET NOUN VERB PUNCT PUNCT PUNCT AUX VERB ADP ADJ ADJ NOUN ADP DET NOUN ADP NOUN NOUN NOUN PUNCT PUNCT
10,PRON VERB SCONJ DET NOUN PUNCT PUNCT VERB NOUN PART VERB PUNCT DET NOUN PUNCT
11,NOUN ADP PROPN PART NOUN NOUN NOUN AUX ADV VERB ADP DET ADJ NOUN PUNCT
12,PRON VERB SCONJ DET ADJ NOUN PUNCT PUNCT VERB VERB NOUN CCONJ VERB VERB VERB DET ADJ NOUN SCONJ SCONJ DET ADJ NOUN ADP DET NOUN AUX AUX VERB PUNCT PUNCT
13,DET ADJ NOUN VERB DET NOUN ADP DET PROPN PROPN PROPN PART NOUN ADP ADJ NOUN VERB ADP NOUN NOUN NOUN ADP ADJ NOUN PUNCT
14,PUNCT PUNCT PRON AUX NUM ADP DET ADJ NOUN ADP DET PROPN PROPN ADJ NOUN NOUN PUNCT PUNCT DET NOUN VERB PUNCT CCONJ DET PROPN PROPN PROPN PUNCT PUNCT AUX VERB ADJ PART VERB DET NOUN ADP DET NOUN NOUN ADP DET DET NOUN ADP DET NOUN ADP DET NOUN ADP PROPN PROPN PUNCT PRON VERB NOUN ADP DET NOUN PUNCT
15,DET NOUN VERB PRON VERB PUNCT PUNCT DET ADJ NOUN ADP DET NOUN AUX VERB DET NOUN ADP PRON ADV ADJ NOUN PUNCT PUNCT
16,ADV PUNCT PUNCT PUNCT PRON VERB SCONJ ADP DET NOUN PROPN PROPN AUX VERB DET NOUN ADP DET ADJ NOUN PUNCT PUNCT DET NOUN VERB PUNCT
17,PUNCT PUNCT NOUN PART AUX PRON AUX VERB PART VERB DET ADJ NOUN PUNCT ADP PROPN NOUN PUNCT
18,DET NOUN ADV VERB ADP DET PROPN NOUN PART NOUN PRON AUX AUX ADP NOUN ADP PRON NOUN ADP DET NOUN ADP NOUN PUNCT NOUN CCONJ NOUN CCONJ DET NOUN ADP NOUN CCONJ NOUN PUNCT
19,NOUN VERB
20,DET NOUN VERB PRON VERB DET NOUN PUNCT PUNCT AUX VERB ADP PRON NOUN NOUN DET NOUN PUNCT ADP NUM ADJ ADJ NOUN PUNCT DET PROPN PROPN PROPN CCONJ DET ADJ NOUN NOUN PUNCT
21,PUNCT PUNCT DET NOUN AUX VERB PART VERB ADP NOUN CCONJ ADP NOUN DET NOUN PART NOUN ADP ADJ NOUN CCONJ PRON VERB CCONJ VERB NOUN ADP ADJ NOUN PUNCT PUNCT DET NOUN VERB PUNCT
22,VERB PROPN PART ADJ ADJ ADJ NUM PUNCT NOUN NOUN PUNCT DET NOUN VERB PUNCT PUNCT SCONJ SCONJ DET ADJ NOUN VERB NOUN PROPN NUM DET NOUN AUX VERB ADP DET NOUN PRON AUX VERB ADJ NOUN PUNCT PUNCT
23,DET NOUN AUX PART VERB PUNCT CCONJ PRON VERB SCONJ PUNCT PUNCT PRON AUX AUX ADJ NOUN ADP DET NOUN NOUN ADP DET NOUN ADP DET NOUN ADP VERB DET NOUN ADJ PUNCT PUNCT
24,VERB NOUN NOUN
25,ADP ADJ NOUN PUNCT DET NOUN VERB SCONJ PUNCT PUNCT X PUNCT
26,NUM ADJ NOUN AUX VERB ADP DET PROPN PROPN PROPN CCONJ PUNCT PUNCT DET NOUN PUNCT ADJ NOUN CCONJ NOUN AUX VERB ADP NOUN CCONJ NOUN NOUN ADP DET NOUN PUNCT PUNCT
27,PUNCT NUM PUNCT
